position,name,type,isnumeric,format,vallab,varlab
118,q3_6_raw,str1,0,%9s,,Original code: q3_6
119,q3_7,byte,1,%33.0g,vl_likelihood,3.7 Likelihood government changes before next federal election
120,q3_7_raw,str3,0,%9s,,Original code: q3_7
121,q3_8,byte,1,%33.0g,vl_likelihood,3.8 Likelihood of major political event within five years
122,q3_8_raw,str1,0,%9s,,Original code: q3_8
123,q3_9,byte,1,%33.0g,vl_likelihood,3.9 Likelihood of new political force within five years
124,q3_9_raw,str1,0,%9s,,Original code: q3_9
125,q3_10_11,byte,1,%33.0g,vl_agree5,Nepal stability risk: Corruption
126,q3_10_11_raw,str3,0,%9s,,Original code: q3_10_11
127,q3_10_11_001,byte,1,%33.0g,vl_sn7om92,Nepal stability risk: Lack of accountability
128,q3_10_11_001_raw,str9,0,%9s,,Original code: q3_10_11_001
129,q3_10_12,byte,1,%33.0g,vl_agree5,Nepal stability risk: Unemployment/economic opportunities
130,q3_10_12_raw,str1,0,%9s,,Original code: q3_10_12
131,q3_10_13,byte,1,%33.0g,vl_agree5,Nepal stability risk: Political exclusion
132,q3_10_13_raw,str3,0,%9s,,Original code: q3_10_13
133,q3_10_14,byte,1,%33.0g,vl_agree5,Nepal stability risk: Rising cost of living
134,q3_10_14_raw,str1,0,%9s,,Original code: q3_10_14
135,q3_10_15,byte,1,%33.0g,vl_agree5,Nepal stability risk: Social media misinformation
136,q3_10_15_raw,str1,0,%9s,,Original code: q3_10_15
137,q3_10_16,byte,1,%33.0g,vl_agree5,Nepal stability risk: Foreign/external influence
138,q3_10_16_raw,str3,0,%9s,,Original code: q3_10_16
139,q3_10_17,byte,1,%33.0g,vl_agree5,Nepal stability risk: Ethnic/religious conflict
140,q3_10_17_raw,str1,0,%9s,,Original code: q3_10_17
141,q3_11_1,byte,1,%33.0g,vl_agree5,Nepal hope: Governance/anti-corruption reforms
142,q3_11_1_raw,str3,0,%9s,,Original code: q3_11_1
143,q3_11_2,byte,1,%33.0g,vl_agree5,Nepal hope: Youth political participation
144,q3_11_2_raw,str1,0,%9s,,Original code: q3_11_2
145,q3_11_3,byte,1,%33.0g,vl_agree5,Nepal hope: Improved democracy
146,q3_11_3_raw,str1,0,%9s,,Original code: q3_11_3
147,q3_11_4,byte,1,%33.0g,vl_agree5,Nepal hope: Economic/employment prospects
148,q3_11_4_raw,str3,0,%9s,,Original code: q3_11_4
149,q4_1,byte,1,%33.0g,vl_follow_genz,4.1 Attention to September 8 Gen-Z protest and subsequent politics
150,q4_1_raw,str1,0,%9s,,Original code: q4_1
151,q4_2_1,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Corruption
152,q4_2_1_raw,str3,0,%9s,,Original code: q4_2_1
153,q4_2_2,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Poor public services
154,q4_2_2_raw,str1,0,%9s,,Original code: q4_2_2
155,q4_2_3,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Unemployment/economic opportunities
156,q4_2_3_raw,str1,0,%9s,,Original code: q4_2_3
157,q4_2_4,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Rising cost of living
158,q4_2_4_raw,str1,0,%9s,,Original code: q4_2_4
159,q4_2_5,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Distrust of leaders/parties/institutions
160,q4_2_5_raw,str1,0,%9s,,Original code: q4_2_5
161,q4_2_6,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Nepotism/elite capture
162,q4_2_6_raw,str3,0,%9s,,Original code: q4_2_6
163,q4_2_7,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Social media ban
164,q4_2_7_raw,str1,0,%9s,,Original code: q4_2_7
165,q4_2_8,byte,1,%33.0g,vl_agree5,Gen-Z protest cause: Foreign/external influence
166,q4_2_8_raw,str3,0,%9s,,Original code: q4_2_8
167,q4_3,byte,1,%33.0g,vl_agree5,4.3 Gen-Z protest: turning point in political history
168,q4_3_raw,str3,0,%9s,,Original code: q4_3
169,q4_4,byte,1,%33.0g,vl_agree5,4.4 Gen-Z protest: greater youth civic/political participation
170,q4_4_raw,str3,0,%9s,,Original code: q4_4
171,q4_5,byte,1,%33.0g,vl_agree5,4.5 Gen-Z protest: youth voices included in mainstream politics
172,q4_5_raw,str3,0,%9s,,Original code: q4_5
173,q4_6,byte,1,%33.0g,vl_agree5,4.6 Gen-Z protest: increased public support for RSP
174,q4_6_raw,str1,0,%9s,,Original code: q4_6
175,q4_7,byte,1,%33.0g,vl_agree5,4.7 Current government represents youth interests
176,q4_7_raw,str1,0,%9s,,Original code: q4_7
177,q4_8,byte,1,%33.0g,vl_agree5,4.8 Government will continue to advance youth interests
178,q4_8_raw,str1,0,%9s,,Original code: q4_8
179,q5_1,byte,1,%33.0g,vl_south_follow,5.1 Attention to protests in other Asian countries
180,q5_1_raw,str3,0,%9s,,Original code: q5_1
181,q5_2_1,byte,1,%33.0g,vl_agree6,South Asia dissent cause: Governance/corruption/public services
182,q5_2_1_raw,str3,0,%9s,,Original code: q5_2_1
183,q5_2_2,byte,1,%33.0g,vl_agree6,South Asia dissent cause: Unemployment/economic opportunities
184,q5_2_2_raw,str3,0,%9s,,Original code: q5_2_2
185,q5_2_3,byte,1,%33.0g,vl_agree6,South Asia dissent cause: Distrust of leaders/parties/institutions
186,q5_2_3_raw,str3,0,%9s,,Original code: q5_2_3
187,q5_2_4,byte,1,%33.0g,vl_agree6,South Asia dissent cause: Political exclusion
188,q5_2_4_raw,str3,0,%9s,,Original code: q5_2_4
189,q5_2_5,byte,1,%33.0g,vl_agree6,South Asia dissent cause: Nepotism/elite capture
190,q5_2_5_raw,str3,0,%9s,,Original code: q5_2_5
191,q5_2_6,byte,1,%33.0g,vl_agree6,South Asia dissent cause: Foreign/external influence
192,q5_2_6_raw,str3,0,%9s,,Original code: q5_2_6
193,q5_3,byte,1,%33.0g,vl_agree5,5.3 Protests in one country encourage others in South Asia
194,q5_3_raw,str3,0,%9s,,Original code: q5_3
195,q5_4,byte,1,%33.0g,vl_south_stability,5.4 Political stability of South Asia today
196,q5_4_raw,str1,0,%9s,,Original code: q5_4
197,q5_5,byte,1,%33.0g,vl_optimism,5.5 Optimism for South Asian stability over next five years
198,q5_5_raw,str1,0,%9s,,Original code: q5_5
199,q5_6_1,byte,1,%33.0g,vl_agree5,South Asia stability risk: Corruption/lack of accountability
200,q5_6_1_raw,str3,0,%9s,,Original code: q5_6_1
201,q5_6_2,byte,1,%33.0g,vl_agree5,South Asia stability risk: Unemployment/economic opportunities
202,q5_6_2_raw,str3,0,%9s,,Original code: q5_6_2
203,q5_6_3,byte,1,%33.0g,vl_agree5,South Asia stability risk: Political exclusion
204,q5_6_3_raw,str1,0,%9s,,Original code: q5_6_3
205,q5_6_4,byte,1,%33.0g,vl_agree5,South Asia stability risk: Rising cost of living
206,q5_6_4_raw,str1,0,%9s,,Original code: q5_6_4
207,q5_6_5,byte,1,%33.0g,vl_agree5,South Asia stability risk: Social media misinformation
208,q5_6_5_raw,str1,0,%9s,,Original code: q5_6_5
209,q5_6_6,byte,1,%33.0g,vl_agree5,South Asia stability risk: Foreign/external influence
210,q5_6_6_raw,str1,0,%9s,,Original code: q5_6_6
211,q5_6_7,byte,1,%33.0g,vl_agree5,South Asia stability risk: Ethnic/religious conflict
212,q5_6_7_raw,str3,0,%9s,,Original code: q5_6_7
213,q5_7_1,byte,1,%33.0g,vl_agree5,South Asia hope: Governance/anti-corruption reforms
214,q5_7_1_raw,str3,0,%9s,,Original code: q5_7_1
215,q5_7_2,byte,1,%33.0g,vl_agree5,South Asia hope: Youth political participation
216,q5_7_2_raw,str1,0,%9s,,Original code: q5_7_2
217,q5_7_3,byte,1,%33.0g,vl_agree5,South Asia hope: Improved democracy
218,q5_7_3_raw,str3,0,%9s,,Original code: q5_7_3
219,q5_7_4,byte,1,%33.0g,vl_agree5,South Asia hope: Economic/employment prospects
220,q5_7_4_raw,str1,0,%9s,,Original code: q5_7_4
221,gps_raw,str48,0,%48s,,Original GPS point: latitude longitude altitude accuracy
222,gps_latitude,double,1,%10.0g,,GPS latitude (decimal degrees)
223,gps_longitude,double,1,%10.0g,,GPS longitude (decimal degrees)
224,gps_altitude,double,1,%10.0g,,GPS altitude (metres)
225,gps_accuracy,double,1,%10.0g,,GPS horizontal accuracy (metres)
226,submission_datetime_raw,str19,0,%19s,,"Submission date and time: source value, timezone unspecified"
227,validation_status,str1,0,%9s,,Submission validation status
228,submission_notes,str1,0,%9s,,Submission notes
229,submission_status,str17,0,%17s,,Submission status
230,submitted_by,str10,0,%10s,,Account submitting the response
231,form_version,str22,0,%22s,,Form version identifier
232,submission_tags,str1,0,%9s,,Submission tags
233,root_uuid,str41,0,%41s,,Root submission UUID
234,source_index,int,1,%10.0g,,Original export row index
235,qc_unknown_codes,byte,1,%8.0g,,Count of response codes absent from supplied choices
236,qc_required_missing,byte,1,%8.0g,,Count of missing required responses within form routing
237,qc_skip_conflicts,byte,1,%8.0g,,Count of responses outside supplied form routing
238,qc_applicable_missing,byte,1,%8.0g,,Count of missing responses within form routing (incl optional)
239,ward_raw,str6,0,%9s,,"Ward: original response, including Nepali digits"
240,local_government_raw,str61,0,%61s,,Local government: original spelling
241,interview_datetime,double,1,%tcCCYY-NN-DD_HH:MM:SS,,Interview date and time: local (+05:45)
242,submission_datetime,double,1,%tcCCYY-NN-DD_HH:MM:SS,,Submission datetime as exported; timezone not specified
243,qc_age,byte,1,%8.0g,qc,Age outside 18-35 or noninteger/missing
244,qc_eligibility,byte,1,%8.0g,qc,"Consent, screener or age eligibility issue"
245,qc_ward,byte,1,%8.0g,qc,Ward nonpositive or noninteger
246,qc_location_numeric,byte,1,%8.0g,qc,Local government entered as a number
247,qc_gps,byte,1,%8.0g,qc,GPS outside global bounds or invalid/missing accuracy
248,qc_education_routing,byte,1,%8.0g,qc,Master's second year: Master's institution blank (form excludes)
249,qc_duplicate_id,byte,1,%12.0g,,Other records sharing submission ID
250,qc_duplicate_uuid,byte,1,%12.0g,,Other records sharing submission UUID
251,ms_screener,byte,1,%33.0g,missing_status,Form routing/missingness: screener
252,ms_gender_other,byte,1,%33.0g,missing_status,Form routing/missingness: gender_other
253,ms_edu_school,byte,1,%33.0g,missing_status,Form routing/missingness: edu_school
254,ms_edu_plus2,byte,1,%33.0g,missing_status,Form routing/missingness: edu_plus2
255,ms_edu_bachelors,byte,1,%33.0g,missing_status,Form routing/missingness: edu_bachelors
256,ms_edu_masters,byte,1,%33.0g,missing_status,Form routing/missingness: edu_masters
257,ms_religion,byte,1,%33.0g,missing_status,Form routing/missingness: religion
258,ms_family_returned,byte,1,%33.0g,missing_status,Form routing/missingness: family_returned
259,ms_abroad_purpose,byte,1,%33.0g,missing_status,Form routing/missingness: abroad_purpose
260,ms_nepal_plan,byte,1,%33.0g,missing_status,Form routing/missingness: nepal_plan
261,ms_q2_4,byte,1,%33.0g,missing_status,Form routing/missingness: q2_4
262,ms_q2_4_1,byte,1,%33.0g,missing_status,Form routing/missingness: q2_4_1
263,ms_q2_4_1_other,byte,1,%33.0g,missing_status,Form routing/missingness: q2_4_1_other
264,ms_q2_5,byte,1,%33.0g,missing_status,Form routing/missingness: q2_5
265,ms_q2_5_1,byte,1,%33.0g,missing_status,Form routing/missingness: q2_5_1
266,ms_q2_5_1_other,byte,1,%33.0g,missing_status,Form routing/missingness: q2_5_1_other
267,ms_q2_6,byte,1,%33.0g,missing_status,Form routing/missingness: q2_6
268,ms_q2_6_1,byte,1,%33.0g,missing_status,Form routing/missingness: q2_6_1
269,ms_q2_6_1_other,byte,1,%33.0g,missing_status,Form routing/missingness: q2_6_1_other
270,ms_q2_7_1,byte,1,%33.0g,missing_status,Form routing/missingness: q2_7_1
271,qc_review,byte,1,%8.0g,qc,At least one substantive data-quality flag; review required
